Area_1;Area_2;Dirt;B_cells;CD4;CD8;epithelial;LP;lymphocytes;macrophages;monocytes;muscular;epithel_prolif;strong_infiltrate;T_cells;Tregs;B_cells_2;T_cells_2;Monocytes_2;Macrophages_2
5;2;773;721;532;607;2;5;23;153;230;9;10762;364;65;960;184;65;8;39
6;3;862;760;959;608;18;6;36;447;1228;20;10763;386;69;2159;598;69;10;61
7;4;895;912;960;670;351;7;46;803;1597;25;10764;403;420;2236;721;248;11;143
8;17;909;980;1078;678;383;8;65;815;1729;26;10765;425;513;4798;760;338;14;147
9;18;916;1099;1529;737;404;9;69;869;1849;35;10766;431;532;;912;420;21;153
10;31;958;1740;1729;756;432;12;77;903;2669;48;10767;435;607;;980;508;54;154
11;35;989;2253;1849;767;491;13;82;973;3758;55;10768;453;608;;1099;513;230;191
12;40;992;2541;1925;788;514;14;86;1175;3773;58;10769;458;670;;1152;532;391;297
13;56;1031;2703;2101;799;537;15;97;1297;3836;84;10770;490;678;;1286;605;521;319
14;58;1071;2748;2159;809;610;19;112;1315;4072;88;10771;511;703;;1588;607;588;349
15;61;1088;3567;2218;851;752;20;125;1603;4680;99;10772;513;704;;1740;608;652;364
16;65;1129;4930;2236;864;1727;22;126;1845;4866;104;10773;532;737;;2068;616;662;373
19;71;1210;5774;2624;882;1934;24;128;2211;5844;105;10774;533;756;;2253;638;668;385
20;73;1274;5952;2826;970;2315;25;136;2247;5859;107;10775;534;757;;2541;670;690;413
21;79;1340;6075;3157;1068;2392;26;140;2375;5928;109;10776;535;767;;2703;673;702;435
22;81;1374;8215;3212;1094;2509;27;153;2584;6375;114;10778;536;788;;2704;678;710;447
23;83;1397;8222;3246;1142;2516;28;156;2800;6396;115;10779;543;793;;2748;701;745;545
24;84;1398;12261;3278;1159;2561;29;159;2884;8562;116;10780;558;799;;3567;703;820;546
25;89;1442;13105;3583;1230;2598;32;163;2988;9251;123;10781;565;809;;4930;704;950;594
26;93;1473;;4255;1313;2617;33;165;3022;9318;130;10782;569;841;;5774;737;1004;656
27;95;1474;;4375;1370;2713;34;176;3278;9328;133;10783;578;851;;5952;756;1029;699
28;96;1527;;4575;1433;2735;36;177;3678;9402;138;10784;580;864;;6075;757;1139;748
29;100;1535;;4742;1500;2867;37;188;3696;9634;142;10785;588;882;;8215;767;1160;751
30;101;1569;;4798;1603;3106;38;192;3820;13439;143;10786;591;906;;8222;788;1228;789
32;106;1587;;4918;1628;3115;39;194;3895;14712;145;10788;598;939;;9943;793;1253;802
33;112;1602;;4965;1640;3280;41;203;4041;15827;148;10790;607;959;;10322;799;1281;803
34;114;1617;;5566;1643;3584;42;204;4246;16675;149;10791;608;960;;12261;809;1352;815
36;121;1633;;7905;1712;3722;43;205;4402;17964;150;10792;614;970;;12672;810;1397;836
37;122;1702;;9375;1997;3898;45;207;4712;18516;155;10793;625;973;;12679;819;1461;869
38;126;1854;;10360;2407;4290;46;211;4937;;157;10794;627;1008;;13105;833;1477;903
39;132;1865;;11920;2448;4395;47;213;5030;;160;10795;631;1032;;16891;840;1522;934
41;134;1955;;13461;3148;4648;48;220;5054;;167;10796;638;1068;;;841;1572;951
42;137;2129;;14576;3179;4961;49;230;5100;;171;10797;645;1078;;;851;1583;973
43;140;2135;;16055;3353;5324;50;231;5199;;174;10799;652;1094;;;864;1597;986
